plot,mean_wt_c,total_cover,total_richness,year,change_in_c
I9,8.03,86,13,2020,6.09
B1,6.24,51,11,2020,4.67
H1,5.19,52,14,2020,4.37
G1,7.21,75,16,2020,4.359999999999999
H14,4.42,79,12,2020,3.7
E22,5.08,120,3,2020,3.62
E6,8.54,94,11,2020,3.549999999999999
A19,3.71,111,8,2020,3.46
H10,5.95,116,12,2020,3.45
B20,6.21,160,8,2020,3.42
H11,3.45,145,14,2020,3.35
J9,5.78,123,16,2020,3.1300000000000003
H16,3.85,143,8,2020,3.08
J10,6.56,75,16,2020,3.05
B19,6.41,131,12,2020,2.9000000000000004
I15,3.33,200,9,2020,2.9
I13,3.04,75,9,2020,2.88
J7,8.38,146,9,2020,2.820000000000001
G16,5.91,53,14,2020,2.8000000000000003
H13,2.78,81,10,2020,2.78
I1,5.95,57,7,2020,2.6900000000000004
G15,5.61,155,15,2020,2.6100000000000003
C21,5.91,114,6,2020,2.58
E3,7.87,109,14,2020,2.49
A24,2.44,88,5,2020,2.41
I14,2.87,103,9,2020,2.19
D3,7.93,114,13,2020,2.1499999999999995
I10,6.35,92,16,2020,2.1399999999999997
C1,7.12,66,13,2020,1.9800000000000004
K10,3.94,232,13,2020,1.97
H9,6.5,113,14,2020,1.96
C5,7.01,87,14,2020,1.8599999999999994
B21,3.28,287,6,2020,1.8099999999999998
I6,7.82,99,15,2020,1.7000000000000002
A9,2.77,196,6,2020,1.69
A25,1.67,45,4,2020,1.67
L11,1.99,148,5,2020,1.62
K1,4.04,81,15,2020,1.6099999999999999
B23,2.57,124,10,2020,1.5999999999999999
J11,4.77,178,11,2020,1.5799999999999996
A16,1.84,70,6,2020,1.57
I3,8.82,114,8,2020,1.5500000000000007
L1,2.44,111,5,2020,1.5299999999999998
A22,2.48,60,6,2020,1.52
E1,5.59,56,12,2020,1.5
F16,5.24,98,15,2020,1.4900000000000002
A5,3.04,158,7,2020,1.49
H2,5.38,60,11,2020,1.48
F2,5.79,107,20,2020,1.4699999999999998
H4,4.85,151,10,2020,1.3799999999999994
L10,1.43,49,8,2020,1.3499999999999999
H15,4.04,99,10,2020,1.33
B15,3.39,178,8,2020,1.2000000000000002
A21,2.06,36,6,2020,1.17
B3,5,135,7,2020,1.1600000000000001
E10,5.17,114,16,2020,1.1500000000000004
D17,5,100,1,2020,1.15
D1,5.49,87,13,2020,1.0700000000000003
I5,8.9,132,13,2020,1.0600000000000005
B4,5.83,183,11,2020,1.0600000000000005
F21,5.41,110,3,2020,1.0499999999999998
L12,1.47,15,5,2020,1.04
B13,5.29,126,12,2020,1
A23,3.01,75,6,2020,0.9699999999999998
A20,1.91,107,6,2020,0.96
A4,3.48,194,7,2020,0.9500000000000002
J2,4.33,98,16,2020,0.94
D6,5.99,90,14,2020,0.9199999999999999
D2,7.16,101,18,2020,0.9100000000000001
H5,6.48,85,12,2020,0.9100000000000001
H3,5.05,88,15,2020,0.9100000000000001
G2,6.23,126,18,2020,0.8900000000000006
C15,4.87,126,14,2020,0.8799999999999999
B8,4.32,106,10,2020,0.8600000000000003
I7,6.65,100,12,2020,0.8200000000000003
A11,2.88,34,4,2020,0.8199999999999998
F6,5.8,88,6,2020,0.79
B24,2.54,204,5,2020,0.77
L13,0.75,20,2,2020,0.73
E19,3.65,85,2,2020,0.7199999999999998
E15,4.53,118,15,2020,0.7100000000000004
C3,5.32,120,17,2020,0.71
F1,3.91,77,14,2020,0.6500000000000004
J12,1.68,25,7,2020,0.6499999999999999
F3,6.89,116,13,2020,0.6499999999999995
A14,2,33,5,2020,0.6299999999999999
H7,5.59,104,16,2020,0.5599999999999996
D7,5.11,131,15,2020,0.5
E5,3.87,60,13,2020,0.4900000000000002
D15,5.22,130,12,2020,0.45999999999999996
F12,3.54,59,8,2020,0.41999999999999993
F19,4.31,80,4,2020,0.4099999999999997
A10,1.15,86,6,2020,0.3899999999999999
C22,5.5,50,7,2020,0.3700000000000001
K9,3.62,128,11,2020,0.3600000000000003
G11,3.32,57,8,2020,0.33999999999999986
F4,7.35,126,11,2020,0.3099999999999996
G14,4.81,170,15,2020,0.29000000000000004
G5,8.53,175,13,2020,0.27999999999999936
H12,2.26,91,12,2020,0.23999999999999977
A8,0.98,41,4,2020,0.21999999999999997
A1,1.2,65,5,2020,0.20999999999999996
C9,5.9,21,2,2020,0.1900000000000004
I12,3.22,23,11,2020,0.1900000000000004
D21,4.3,100,4,2020,0.1899999999999995
G8,6.64,90,13,2020,0.14999999999999947
F10,4.92,133,9,2020,0.13999999999999968
C14,3.95,171,12,2020,0.1200000000000001
F8,4.74,140,11,2020,0.11000000000000032
B22,3.55,188,7,2020,0.09999999999999964
A17,0.52,63,10,2020,0.09000000000000002
D10,5.6,126,13,2020,0.08999999999999986
F14,6.5,133,13,2020,0.05999999999999961
C17,5,100,1,2020,0.03000000000000025
F18,2.76,148,8,2020,0.029999999999999805
C12,4.94,102,15,2020,0
L9,0.39,165,5,2020,-0.010000000000000009
B2,5.81,138,9,2020,-0.010000000000000675
F20,4.35,100,4,2020,-0.03000000000000025
D5,7.28,175,10,2020,-0.040000000000000036
C10,5.45,104,4,2020,-0.05999999999999961
C8,4.8,130,11,2020,-0.0600000000000005
D14,5.58,71,13,2020,-0.07000000000000028
J3,4.32,96,7,2020,-0.08000000000000007
J4,6.16,95,18,2020,-0.09999999999999964
A18,0.32,28,4,2020,-0.16999999999999998
E11,5.25,76,14,2020,-0.17999999999999972
D12,4.69,131,17,2020,-0.1899999999999995
A15,0.92,51,5,2020,-0.19000000000000006
E13,6.54,134,17,2020,-0.20999999999999996
C20,4.9,83,2,2020,-0.22999999999999954
C2,5.98,137,21,2020,-0.2699999999999996
C4,4.53,184,13,2020,-0.41999999999999993
I2,4.18,77,10,2020,-0.41999999999999993
L2,0.64,194,7,2020,-0.4600000000000001
F15,5.12,139,16,2020,-0.46999999999999975
B11,3.41,107,8,2020,-0.48
G10,4.54,97,16,2020,-0.5
L8,0.55,80,7,2020,-0.51
B18,2.99,169,14,2020,-0.5199999999999996
D4,4.13,141,10,2020,-0.5499999999999998
G9,6,111,11,2020,-0.5700000000000003
H8,4.38,117,16,2020,-0.5800000000000001
G4,6.48,126,17,2020,-0.5999999999999996
D8,4.53,154,10,2020,-0.5999999999999996
A7,0.53,36,4,2020,-0.6399999999999999
C6,6.84,208,17,2020,-0.6600000000000001
B12,4.32,103,9,2020,-0.6600000000000001
J8,6.33,85,9,2020,-0.7199999999999998
F13,4.84,211,9,2020,-0.7300000000000004
C16,4.43,133,13,2020,-0.8200000000000003
G3,6.35,136,15,2020,-0.8400000000000007
C7,6.03,151,19,2020,-0.8899999999999997
E12,5.1,91,12,2020,-0.8900000000000006
K4,3.93,116,11,2020,-0.9499999999999997
D11,3.76,74,11,2020,-0.9500000000000002
J5,5.93,114,13,2020,-0.96
D9,5.11,80,5,2020,-0.96
B16,4.33,116,12,2020,-0.9799999999999995
I8,5.72,122,13,2020,-0.9800000000000004
E2,6.18,136,17,2020,-0.9900000000000002
J1,1.42,127,8,2020,-1.02
A6,0.6,5,2,2020,-1.02
G7,5.65,95,11,2020,-1.08
E7,5.82,213,16,2020,-1.0999999999999996
A13,0.9,126,8,2020,-1.12
E17,4.42,235,8,2020,-1.21
E21,5,100,2,2020,-1.2199999999999998
F11,4.72,155,18,2020,-1.2400000000000002
C19,5,75,1,2020,-1.29
C11,4.86,118,11,2020,-1.3099999999999996
F9,4.05,126,8,2020,-1.33
E16,4.15,99,11,2020,-1.3499999999999996
B9,4.4,25,3,2020,-1.3699999999999992
E4,5.54,185,13,2020,-1.3899999999999997
L7,0.97,38,10,2020,-1.39
D18,4.43,58,3,2020,-1.4000000000000004
F7,5.48,124,9,2020,-1.4099999999999993
J6,5.13,122,14,2020,-1.4400000000000004
B17,3.22,199,11,2020,-1.4899999999999998
E20,4.5,100,2,2020,-1.5
L4,1.03,138,7,2020,-1.51
D16,4.3,189,17,2020,-1.5499999999999998
B5,5.35,111,14,2020,-1.6100000000000003
K8,2.31,172,8,2020,-1.62
A2,0.75,16,6,2020,-1.67
B10,3.78,111,11,2020,-1.6700000000000004
L6,1.8,106,7,2020,-1.6900000000000002
E18,2.12,137,5,2020,-1.73
D13,3.92,165,13,2020,-1.7300000000000004
I4,4.23,86,9,2020,-1.7599999999999998
B14,1.99,167,8,2020,-1.8
A12,2.32,231,11,2020,-1.8900000000000001
A3,0.23,43,8,2020,-1.9100000000000001
D22,5,100,1,2020,-2
G13,1.24,210,4,2020,-2.0700000000000003
K5,4.15,65,11,2020,-2.17
C18,4.81,105,2,2020,-2.2
C13,3.75,162,15,2020,-2.2
K11,2.35,161,11,2020,-2.32
E9,3.5,48,4,2020,-2.37
G6,4.35,162,11,2020,-2.3900000000000006
I11,2.11,123,10,2020,-2.43
F5,6.42,64,13,2020,-2.540000000000001
C23,3.52,93,9,2020,-2.57
E14,6.19,154,18,2020,-2.62
K2,3.07,95,10,2020,-2.81
H6,3.88,129,14,2020,-2.83
G12,2.22,98,7,2020,-2.8799999999999994
K7,2.97,128,11,2020,-2.9199999999999995
K12,1.08,143,9,2020,-2.9799999999999995
B7,3.11,138,8,2020,-3.0900000000000003
K3,3.78,104,9,2020,-3.22
E8,2.56,125,4,2020,-3.35
L5,0.75,106,7,2020,-3.62
D19,2.6,100,3,2020,-3.77
L3,1.75,53,6,2020,-3.99
B6,4.53,103,9,2020,-4.0200000000000005
D20,1.63,95,2,2020,-4.18
K6,1.67,115,11,2020,-4.23
