plot,mean_wt_c,total_cover,total_richness,year
F5,8.96,105,10,1979
I5,8.9,132,13,2020
I3,8.82,114,8,2020
E14,8.81,77,16,1979
C11,8.79,90,12,1984
F5,8.79,141,13,1995
G5,8.76,147,18,1995
F5,8.71,120,13,1981
E14,8.66,106,16,1980
B6,8.55,110,11,1979
E6,8.54,94,11,2020
G5,8.53,175,13,2020
F15,8.49,144,19,1995
G5,8.43,201,11,1984
E14,8.38,183,17,1995
J7,8.38,146,9,2020
E14,8.3,115,19,1981
B6,8.3,148,12,1982
D5,8.3,125,15,1987
E14,8.26,100,18,1982
F4,8.26,151,19,1987
G5,8.25,83,12,1979
D5,8.24,98,18,1982
F5,8.2,102,13,1982
I3,8.2,88,10,2005
D16,8.19,141,14,1984
G5,8.19,54,14,2005
G5,8.18,92,13,1980
C16,8.15,155,12,1984
G2,8.15,75,12,2005
E13,8.14,73,18,1982
G6,8.11,165,12,1984
G5,8.08,93,15,1981
E13,8.08,59,18,2005
D5,8.05,82,17,1981
G5,8.03,77,14,1982
I3,8.03,189,9,1984
I9,8.03,86,13,2020
G7,8.02,109,9,1984
J6,8.02,237,16,1987
F6,8,152,16,1995
I3,7.98,194,15,1995
F5,7.95,57,10,1980
D5,7.95,130,15,1984
F5,7.95,85,11,2005
D3,7.93,114,13,2020
I3,7.92,129,17,1982
I5,7.92,112,17,1982
F6,7.9,165,13,1987
G5,7.9,213,17,1987
D5,7.89,150,18,1995
C2,7.89,76,16,2005
E14,7.87,203,20,1987
C6,7.87,257,17,1987
D5,7.87,130,12,2005
E3,7.87,109,14,2020
I5,7.84,108,16,1979
I4,7.82,112,19,1982
I6,7.82,99,15,2020
E13,7.81,166,15,1987
D16,7.8,92,16,1981
G6,7.78,190,17,1987
J6,7.77,167,17,1995
I5,7.76,117,17,1980
I5,7.76,117,17,1981
E2,7.76,147,10,1987
C6,7.75,116,19,1980
I4,7.73,180,12,1984
G6,7.72,140,16,1995
I6,7.7,89,17,1982
C6,7.65,120,17,2005
D3,7.64,133,12,2005
E14,7.63,161,16,1984
E2,7.62,85,17,1980
G4,7.62,112,20,1981
I6,7.62,133,11,1984
C6,7.61,94,22,1982
C7,7.61,190,19,1995
B7,7.59,131,13,1980
J7,7.57,93,12,2005
C2,7.56,95,13,1987
G2,7.56,177,14,1995
E13,7.56,107,14,1995
G4,7.55,134,19,1987
C6,7.5,103,18,1979
F15,7.48,186,17,1987
E4,7.48,141,10,2005
B6,7.47,152,12,1980
F4,7.46,70,19,1982
I6,7.46,145,17,1995
D1,7.46,41,13,2005
H9,7.46,46,12,2005
G3,7.44,124,16,1981
D7,7.44,299,19,1987
D15,7.44,209,16,1987
B6,7.42,174,17,1981
I6,7.42,69,12,2005
F14,7.41,201,16,1987
F4,7.35,126,11,2020
E3,7.33,189,14,1987
D5,7.32,88,15,1979
G3,7.32,111,16,1980
C11,7.3,172,18,1987
D5,7.28,175,10,2020
I3,7.27,109,10,1979
F4,7.25,93,18,1981
C6,7.23,93,20,1981
F14,7.23,118,15,1995
E13,7.22,89,19,1980
E2,7.22,170,16,1995
D5,7.21,98,16,1980
J5,7.21,111,17,1982
G1,7.21,75,16,2020
G7,7.2,168,17,1987
G3,7.19,140,14,1979
C2,7.19,72,17,1980
J8,7.19,74,18,1981
B6,7.18,166,19,1995
E2,7.17,82,16,1979
E2,7.17,94,19,1982
C22,7.17,182,18,1987
F4,7.17,96,21,2005
F6,7.16,132,11,1984
I5,7.16,82,11,2005
D2,7.16,101,18,2020
H7,7.15,66,13,2005
B7,7.14,264,19,1987
B5,7.13,142,18,1995
E13,7.12,104,21,1981
C1,7.12,66,13,2020
I5,7.11,220,14,1987
F3,7.11,144,17,1995
F14,7.11,81,15,2005
G4,7.11,66,14,2005
I3,7.09,103,10,1980
F4,7.09,138,17,1980
D13,7.09,124,16,1995
G4,7.08,108,17,1979
G6,7.08,78,16,1982
C11,7.08,177,17,1995
D1,7.08,92,14,1995
E12,7.08,105,17,2005
C16,7.07,97,21,1982
J6,7.06,116,14,1982
J8,7.05,92,14,1979
D14,7.05,149,20,1984
G8,7.05,191,16,1984
F4,7.04,101,15,1979
J4,7.04,222,15,1984
G8,7.04,157,19,1995
C1,7.04,81,12,2005
B5,7.03,154,15,1980
I9,7.03,37,11,2005
G4,7.02,142,21,1980
D1,7.02,99,15,1987
F5,7.02,170,24,1987
C18,7.01,81,18,1979
C5,7.01,87,14,2020
D22,7,60,1,1979
K3,7,85,1,1979
D22,7,60,1,1980
G4,7,84,20,1982
F13,6.99,136,12,1984
B2,6.99,123,13,1987
E7,6.98,151,26,1981
B5,6.96,99,15,1979
C23,6.96,161,10,1984
D13,6.96,219,20,1987
D20,6.96,80,3,1987
G4,6.96,135,22,1995
I6,6.95,124,14,1980
B5,6.95,97,17,1982
J6,6.95,61,16,2005
E4,6.93,110,15,1979
C7,6.92,166,23,1979
E7,6.92,121,21,1979
I7,6.92,209,13,1987
F2,6.92,152,20,1995
D22,6.9,79,2,1982
C7,6.9,332,22,1987
J5,6.9,153,13,1987
E7,6.9,191,26,1987
J5,6.89,111,14,1979
F7,6.89,62,17,1979
C19,6.89,89,4,1982
F3,6.89,116,13,2020
I3,6.88,94,14,1981
F14,6.88,92,19,1982
E7,6.88,114,23,1982
D22,6.88,102,3,1984
H4,6.88,64,9,2005
J6,6.87,89,12,1980
I6,6.87,311,17,1987
F14,6.86,240,16,1984
K3,6.85,88,3,1980
G3,6.85,102,14,1982
D16,6.85,133,18,1982
H7,6.85,137,14,1995
C6,6.84,208,17,2020
D14,6.83,252,22,1987
D22,6.82,83,2,1981
E13,6.82,146,8,1984
G8,6.81,83,17,1982
D14,6.81,89,19,1995
F3,6.81,83,19,2005
D6,6.8,75,16,2005
C7,6.8,94,20,2005
I4,6.79,144,16,1980
G16,6.79,34,13,2005
G8,6.79,53,10,2005
C5,6.79,52,12,2005
C13,6.78,77,12,1981
C20,6.78,107,3,1984
B2,6.78,125,15,1995
E15,6.78,115,19,1995
J5,6.77,185,10,1984
E4,6.76,133,19,1981
F7,6.76,90,18,1982
E13,6.75,99,19,1979
B5,6.75,111,17,1981
G6,6.74,86,17,1979
J8,6.74,90,15,1980
K3,6.74,96,4,1982
F7,6.74,168,15,1995
G7,6.73,95,19,1979
E20,6.73,55,2,1981
C6,6.72,126,19,1995
E7,6.72,97,14,2005
H6,6.71,99,12,1979
K3,6.71,87,3,1981
J4,6.71,149,16,1987
E3,6.71,104,19,2005
I8,6.7,97,18,1979
G6,6.7,84,17,1981
B1,6.7,63,17,2005
F14,6.69,96,17,1981
C7,6.69,201,27,1981
E2,6.69,67,20,1981
I6,6.68,91,14,1981
J6,6.68,97,13,1981
G8,6.68,106,18,1981
F6,6.68,87,11,1982
C7,6.68,206,13,1984
I3,6.68,169,18,1987
G3,6.67,202,16,1987
E2,6.67,78,15,2005
F7,6.66,131,19,1981
D3,6.66,194,16,1987
D18,6.65,68,2,1982
D21,6.65,98,3,1984
I7,6.65,100,12,2020
G8,6.64,90,13,2020
C2,6.63,94,18,1982
I5,6.63,144,11,1984
F16,6.63,119,12,1995
C4,6.62,168,14,1984
C6,6.62,183,17,1984
D18,6.61,114,2,1984
E16,6.61,206,14,1987
E20,6.59,58,2,1980
J6,6.57,77,12,1979
G9,6.57,69,19,1979
D19,6.57,69,3,1981
C12,6.57,142,11,1984
D15,6.57,108,19,1995
C19,6.56,82,5,1980
J5,6.56,151,16,1980
G7,6.56,106,21,1982
J10,6.56,75,16,2020
K7,6.55,110,19,1980
E21,6.55,115,4,1984
E1,6.54,87,16,2005
E13,6.54,134,17,2020
K5,6.53,101,17,1980
J8,6.53,118,17,1982
G4,6.53,131,11,1984
D15,6.53,148,15,1984
D19,6.53,95,2,1984
B2,6.53,70,16,2005
D18,6.52,58,4,1980
C18,6.52,89,24,1981
C16,6.52,169,19,1987
E6,6.52,153,10,2005
D19,6.51,68,3,1980
J4,6.51,122,20,1982
E7,6.51,115,18,1995
D2,6.5,129,18,1995
C23,6.5,18,5,2005
H9,6.5,113,14,2020
F14,6.5,133,13,2020
G8,6.49,90,16,1979
C2,6.49,74,19,1981
F4,6.49,166,18,1984
C19,6.48,92,4,1981
D7,6.48,118,14,2005
G3,6.48,139,12,2005
H5,6.48,85,12,2020
